station_id,station,basin,river,admin_region,official_lng,official_lat,snap_lng,snap_lat,snap_source,station_type,important_section
847,旺草,长江,芙蓉江,贵州,107.271111,28.093056,107.271111,28.093056,official_coordinate,river,否
848,长坝,长江,芙蓉江,贵州,107.685,28.805278,107.685,28.805278,official_coordinate,river,否
760,天宫,长江,花溪河,四川,103.276944,29.803056,103.276944,29.803056,official_coordinate,river,否
958,草尾,长江,草尾河,湖南,112.370833,29.043611,112.370833,29.043611,official_coordinate,river,否
758,荥经,长江,荥经河,四川,102.849884,29.820168,102.849884,29.820168,official_coordinate,river,否
922,党坪,长江,莳竹水,湖南,110.083333,26.6,110.083333,26.6,official_coordinate,river,否
684,黄坪,长江,落漏河,云南,100.3848,26.0918,100.3848,26.0918,official_coordinate,river,否
876,石门坎,长江,蒸水,湖南,112.316667,27.15,112.316667,27.15,official_coordinate,river,否
877,神山头,长江,蒸水,湖南,112.433333,26.9,112.433333,26.9,official_coordinate,river,否
1250,西河驿,长江,蕲水,湖北,115.420194,30.263472,115.420194,30.263472,official_coordinate,river,是
948,藕池(管),长江,藕池河,湖北,112.316667,29.733056,112.316667,29.733056,official_coordinate,river,否
949,南县(罗文窖),长江,藕池河(北支),湖南,112.45,29.35,112.45,29.35,official_coordinate,river,否
944,弥陀寺(二),长江,虎渡河,湖北,112.126667,30.216667,112.126667,30.216667,official_coordinate,river,否
945,黄山头(闸上),长江,虎渡河,湖北,112.166667,29.666667,112.166667,29.666667,official_coordinate,river,否
946,黄山头(闸下),长江,虎渡河,湖北,112.166667,29.666667,112.166667,29.666667,official_coordinate,river,否
1029,朱市,长江,蛮河,湖北,112.122222,31.7125,112.122222,31.7125,official_coordinate,river,否
1019,蜀河,长江,蜀河,陕西,109.68,32.97,109.68,32.97,official_coordinate,river,否
695,蔡家村,长江,螳螂川,云南,102.435,25.1667,102.435,25.1667,official_coordinate,river,否
998,江口,长江,褒河,陕西,107.02,33.7,107.02,33.7,official_coordinate,river,否
999,马道,长江,褒河,陕西,107,33.42,107,33.42,official_coordinate,river,否
704,西宁,长江,西宁河,四川,103.606738,28.511544,103.606738,28.511544,official_coordinate,river,否
1135,缺口,长江,西河,安徽,117.482398,31.1498,117.482398,31.1498,official_coordinate,river,否
796,肖家,长江,西河,四川,106.025528,31.296053,106.025528,31.296053,official_coordinate,river,否
956,南咀,长江,西洞庭湖湖口(北端),湖南,112.283056,29.066667,112.283056,29.066667,official_coordinate,river,否
957,小河咀,长江,西洞庭湖湖口(南端),湖南,112.316667,28.85,112.316667,28.85,official_coordinate,river,否
1065,峡山(二),长江,贡水,江西,115.1838,25.9254,115.1838,25.9254,official_coordinate,river,否
1287,赣州,长江,贡水,江西,114.9585,25.855694,114.9585,25.855694,official_coordinate,river,是
1189,冷水江(二),长江,资水,湖南,111.4,27.666667,111.4,27.666667,official_coordinate,river,是
898,新化,长江,资水,湖南,111.3,27.733333,111.3,27.733333,official_coordinate,river,否
1203,桃江(二),长江,资水,湖南,112.116667,28.533333,112.116667,28.533333,official_coordinate,river,是
960,沙头(二),长江,资水,湖南,112.466667,28.644444,112.466667,28.644444,official_coordinate,river,否
900,益阳(二),长江,资水,湖南,112.35,28.6,112.35,28.6,official_coordinate,river,否
895,罗家庙,长江,资水,湖南,111.25,27.016667,111.25,27.016667,official_coordinate,river,否
1188,邵阳,长江,资水,湖南,111.45,27.25,111.45,27.25,official_coordinate,river,是
710,茅台,长江,赤水河,贵州,106.361944,27.851389,106.361944,27.851389,official_coordinate,river,否
974,赤水,长江,赤水河,贵州,105.688889,28.586944,105.688889,28.586944,official_coordinate,river,是
709,赤水河,长江,赤水河,贵州,105.57879,27.724344,105.57879,27.724344,official_coordinate,river,否
894,隆回,长江,赧水,湖南,110.983333,27.133333,110.983333,27.133333,official_coordinate,river,否
893,黄桥,长江,赧水,湖南,110.85,27.033333,110.85,27.033333,official_coordinate,river,否
